Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss (Global),Balance (Global),Profit/Loss (Pips),Strategy name (Global)
1202,US100.pro,Buy,29.11.2024 05:07:16,20923.7,0.08,29.11.2024 13:36:49,20858.8,8h 29m,-98.95,124748.7,-649000,nas100 sf
1178,US500.pro,Buy,28.11.2024 16:00:00,6028.9,0.16,29.11.2024 16:00:00,6032.5,1d 0h 0m,27.14,124775.84,36000,us500 vf
2532,USDJPY.pro,Sell,29.11.2024 08:30:00,149.594,0.14,29.11.2024 21:00:00,149.61,12h 30m,-1.42,124774.42,-1.6,usdjpy pf
1181,US500.pro,Buy,29.11.2024 16:03:00,6035.4,0.18,02.12.2024 00:01:00,6053.1,2d 7h 58m,149.94,124924.36,177000,us500 vf
1179,US500.pro,Buy,29.11.2024 04:00:00,6033.1,0.17,02.12.2024 00:01:00,6053.1,2d 20h 1m,160.01,125084.37,200000,us500 vf
626,DE30.pro,Buy,28.11.2024 09:05:55,19433.2,0.08,02.12.2024 01:16:13,19665.7,3d 16h 10m,465,125549.37,2325000,dax sf
2534,USDJPY.pro,Sell,02.12.2024 07:42:00,150.395,0.29,02.12.2024 21:00:00,149.527,13h 18m,160.48,125709.85,86.8,usdjpy pf
1204,US100.pro,Buy,02.12.2024 15:30:49,21052.8,0.09,03.12.2024 15:07:02,21162.3,23h 36m,186.23,125896.08,1095000,nas100 sf
1214,USDJPY.pro,Sell,02.12.2024 17:30:00,149.158,0.21,03.12.2024 16:03:25,149.137,22h 33m,0.48,125896.56,2.1,usdjpy cf
2536,USDJPY.pro,Sell,03.12.2024 12:42:00,149.738,0.21,03.12.2024 21:00:00,149.509,8h 18m,30.62,125927.18,22.9,usdjpy pf
1216,USDJPY.pro,Sell,03.12.2024 20:00:00,149.04,0.21,04.12.2024 05:30:00,150.167,9h 30m,-152.39,125774.79,-112.7,usdjpy cf
1032,US100.pro,Buy,02.12.2024 15:00:00,21027.7,0.09,04.12.2024 15:30:01,21407.8,2d 0h 30m,648.45,126423.24,3801000,nas100 cf
2538,USDJPY.pro,Buy,04.12.2024 08:18:00,150.297,0.17,04.12.2024 21:00:00,150.442,12h 42m,15.58,126438.82,14.5,usdjpy pf
848,GOLD.pro,Buy,04.12.2024 16:25:49,2655.71,0.15,05.12.2024 03:06:02,2645.56,10h 40m,-145.7,126293.12,-101500,gold sf
1218,USDJPY.pro,Buy,04.12.2024 08:30:00,150.368,0.3,05.12.2024 06:45:00,149.905,22h 15m,-81.64,126211.48,-46.3,usdjpy cf
1184,US500.pro,Buy,04.12.2024 12:04:37,6080.1,0.19,05.12.2024 12:04:40,6094.5,1d 0h 0m,129.22,126340.7,144000,us500 vf
1220,USDJPY.pro,Sell,05.12.2024 06:45:00,149.905,0.31,05.12.2024 14:53:38,150.669,8h 8m,-148.87,126191.83,-76.4,usdjpy cf
2540,USDJPY.pro,Sell,05.12.2024 06:18:00,150.113,0.24,05.12.2024 14:53:54,150.689,8h 35m,-86.88,126104.95,-57.6,usdjpy pf
1185,US500.pro,Buy,04.12.2024 16:35:51,6086.1,0.2,05.12.2024 16:35:51,6093,1d 0h 0m,64.99,126169.94,69000,us500 vf
1130,GOLD.pro,Buy,04.12.2024 15:25:35,2651.45,0.111,05.12.2024 18:12:24,2630.17,1d 2h 46m,-224.76,125945.18,-212800,gold fv
1206,US100.pro,Buy,04.12.2024 00:48:39,21336.5,0.09,05.12.2024 19:23:32,21496,1d 18h 34m,270.31,126215.49,1595000,nas100 sf
1186,US500.pro,Buy,04.12.2024 20:19:00,6088.9,0.2,05.12.2024 20:19:00,6095.7,1d 0h 0m,63.93,126279.42,68000,us500 vf
2542,USDJPY.pro,Buy,06.12.2024 08:24:00,150.09,0.33,06.12.2024 14:59:51,149.661,6h 35m,-89.2,126190.22,-42.9,usdjpy pf
1208,US100.pro,Buy,06.12.2024 15:39:16,21540.3,0.1,06.12.2024 20:59:00,21641.3,5h 19m,190.3,126380.52,1010000,nas100 sf
1222,USDJPY.pro,Sell,06.12.2024 15:00:00,149.662,0.3,09.12.2024 09:22:17,150.462,2d 18h 22m,-154.39,126226.13,-80,usdjpy cf
1033,US100.pro,Buy,03.12.2024 22:00:00,21280,0.06,09.12.2024 10:01:19,21680.7,5d 12h 1m,452.4,126678.53,4007000,nas100 cf
628,DE30.pro,Buy,09.12.2024 08:36:10,20459.2,0.09,09.12.2024 10:06:06,20407.9,1h 29m,-115.43,126563.1,-513000,dax sf
1035,US100.pro,Buy,06.12.2024 16:00:00,21611.4,0.06,09.12.2024 16:38:23,21517.9,3d 0h 38m,-106.66,126456.44,-935000,nas100 cf
2544,USDJPY.pro,Buy,09.12.2024 07:24:00,150.173,0.46,09.12.2024 21:00:00,151.238,13h 36m,306.88,126763.32,106.5,usdjpy pf
2546,USDJPY.pro,Sell,10.12.2024 07:00:00,150.936,0.25,10.12.2024 08:53:17,151.489,1h 53m,-86.48,126676.84,-55.3,usdjpy pf
1224,USDJPY.pro,Buy,09.12.2024 14:00:00,150.767,0.49,10.12.2024 19:30:48,151.974,1d 5h 30m,373.32,127050.16,120.7,usdjpy cf
1132,GOLD.pro,Buy,09.12.2024 16:11:46,2675.47,0.086,10.12.2024 22:11:50,2692.59,1d 6h 0m,139.1,127189.26,171200,gold fv
850,GOLD.pro,Buy,10.12.2024 11:52:46,2676.48,0.15,11.12.2024 04:44:01,2694.72,16h 51m,258.32,127447.58,182400,gold sf
2548,USDJPY.pro,Buy,11.12.2024 06:54:00,151.732,0.3,11.12.2024 10:11:16,151.217,3h 17m,-97.24,127350.34,-51.5,usdjpy pf
1038,US100.pro,Sell,10.12.2024 20:45:00,21428.2,0.07,11.12.2024 14:34:03,21509.8,17h 49m,-109.3,127241.04,-816000,nas100 cf
852,GOLD.pro,Buy,11.12.2024 09:32:46,2695.84,0.15,12.12.2024 02:13:25,2717.8,16h 40m,311.77,127552.81,219600,gold sf
1134,GOLD.pro,Buy,11.12.2024 15:03:43,2704.5,0.095,12.12.2024 02:30:42,2700.52,11h 26m,-36.19,127516.62,-39800,gold fv
1210,US100.pro,Buy,11.12.2024 15:08:34,21572,0.1,12.12.2024 13:04:01,21719.3,21h 55m,278.94,127795.56,1473000,nas100 sf
1040,US100.pro,Buy,11.12.2024 15:45:00,21637.3,0.07,12.12.2024 16:11:52,21635.9,1d 0h 26m,-1.88,127793.68,-14000,nas100 cf
2550,USDJPY.pro,Buy,12.12.2024 06:42:00,152.453,0.2,12.12.2024 21:00:00,152.538,14h 18m,10.64,127804.32,8.5,usdjpy pf
630,DE30.pro,Buy,11.12.2024 17:12:32,20424.2,0.09,13.12.2024 16:07:59,20432.9,1d 22h 55m,19.58,127823.9,87000,dax sf
1212,US100.pro,Buy,13.12.2024 13:14:26,21810.2,0.11,13.12.2024 16:37:24,21797.9,3h 22m,-25.95,127797.95,-123000,nas100 sf
1190,US500.pro,Buy,13.12.2024 12:01:40,6081.6,0.15,13.12.2024 16:40:43,6056.5,4h 39m,-180.51,127617.44,-251000,us500 vf
1042,US100.pro,Buy,13.12.2024 13:30:00,21822.5,0.1,13.12.2024 16:40:53,21764.8,3h 10m,-110.65,127506.79,-577000,nas100 cf
1214,US100.pro,Buy,13.12.2024 20:30:21,21810.2,0.1,13.12.2024 20:59:00,21801.2,28m 39s,-17.25,127489.54,-90000,nas100 sf
2552,USDJPY.pro,Buy,13.12.2024 09:48:00,153.141,0.21,13.12.2024 21:00:00,153.688,11h 12m,71.22,127560.76,54.7,usdjpy pf
1226,USDJPY.pro,Buy,11.12.2024 10:30:00,152.403,0.24,15.12.2024 23:47:19,153.57,4d 13h 17m,182.11,127742.87,116.7,usdjpy cf
2554,USDJPY.pro,Sell,16.12.2024 06:06:00,153.723,0.38,16.12.2024 14:00:19,154.104,7h 54m,-89.55,127653.32,-38.1,usdjpy pf
1216,US100.pro,Buy,16.12.2024 14:30:23,21910.8,0.1,17.12.2024 09:01:00,22035.8,18h 30m,236.79,127890.11,1250000,nas100 sf
1136,GOLD.pro,Buy,16.12.2024 12:27:51,2662.19,0.096,17.12.2024 12:02:39,2636.82,23h 34m,-233.5,127656.61,-253700,gold fv
1228,USDJPY.pro,Buy,16.12.2024 13:45:00,154.084,0.5,17.12.2024 15:11:52,153.596,1d 1h 26m,-147.63,127508.98,-48.8,usdjpy cf
2556,USDJPY.pro,Buy,17.12.2024 06:42:01,154.214,0.23,17.12.2024 15:11:52,153.595,8h 29m,-88.2,127420.78,-61.9,usdjpy pf
